step,context,stability_rate,stable_count,total_count
5000,1,0.8,8,10
5000,10,0.8,8,10
5000,20,1.0,10,10
5000,30,0.8,8,10
5000,40,0.9,9,10
5000,50,1.0,10,10
10000,1,0.9,9,10
10000,10,1.0,10,10
10000,20,1.0,10,10
10000,30,0.9,9,10
10000,40,1.0,10,10
10000,50,1.0,10,10
15000,1,0.9,9,10
15000,10,0.7,7,10
15000,20,0.9,9,10
15000,30,0.9,9,10
15000,40,0.9,9,10
15000,50,0.9,9,10
20000,1,0.8,8,10
20000,10,0.9,9,10
20000,20,0.8,8,10
20000,30,0.9,9,10
20000,40,0.9,9,10
20000,50,0.9,9,10
25000,1,0.9,9,10
25000,10,0.8,8,10
25000,20,0.9,9,10
25000,30,0.9,9,10
25000,40,0.9,9,10
25000,50,0.9,9,10
30000,1,0.6,6,10
30000,10,0.9,9,10
30000,20,1.0,10,10
30000,30,1.0,10,10
30000,40,1.0,10,10
30000,50,1.0,10,10
35000,1,1.0,10,10
35000,10,1.0,10,10
35000,20,1.0,10,10
35000,30,1.0,10,10
35000,40,1.0,10,10
35000,50,0.9,9,10
40000,1,1.0,10,10
40000,10,1.0,10,10
40000,20,1.0,10,10
40000,30,1.0,10,10
40000,40,1.0,10,10
40000,50,1.0,10,10
45000,1,0.9,9,10
45000,10,1.0,10,10
45000,20,1.0,10,10
45000,30,1.0,10,10
45000,40,1.0,10,10
45000,50,1.0,10,10
55000,1,0.8,8,10
55000,10,0.9,9,10
55000,20,0.8,8,10
55000,30,0.9,9,10
55000,40,0.9,9,10
55000,50,1.0,10,10
60000,1,0.8,8,10
60000,10,1.0,10,10
60000,20,1.0,10,10
60000,30,0.9,9,10
60000,40,0.9,9,10
60000,50,0.9,9,10
65000,1,0.5,5,10
65000,10,0.9,9,10
65000,20,0.9,9,10
65000,30,0.9,9,10
65000,40,0.9,9,10
65000,50,0.9,9,10
70000,1,0.8,8,10
70000,10,0.9,9,10
70000,20,0.9,9,10
70000,30,1.0,10,10
70000,40,1.0,10,10
70000,50,1.0,10,10
75000,1,0.9,9,10
75000,10,1.0,10,10
75000,20,1.0,10,10
75000,30,1.0,10,10
75000,40,1.0,10,10
75000,50,1.0,10,10
80000,1,0.9,9,10
80000,10,1.0,10,10
80000,20,0.9,9,10
80000,30,1.0,10,10
80000,40,1.0,10,10
80000,50,1.0,10,10
85000,1,0.7,7,10
85000,10,0.8,8,10
85000,20,1.0,10,10
85000,30,1.0,10,10
85000,40,1.0,10,10
85000,50,1.0,10,10
90000,1,1.0,10,10
90000,10,0.9,9,10
90000,20,1.0,10,10
90000,30,1.0,10,10
90000,40,1.0,10,10
90000,50,1.0,10,10
95000,1,0.7,7,10
95000,10,1.0,10,10
95000,20,1.0,10,10
95000,30,1.0,10,10
95000,40,1.0,10,10
95000,50,1.0,10,10
100000,1,0.7,7,10
100000,10,0.9,9,10
100000,20,0.9,9,10
100000,30,0.9,9,10
100000,40,0.9,9,10
100000,50,0.9,9,10
105000,1,0.9,9,10
105000,10,0.9,9,10
105000,20,0.9,9,10
105000,30,0.9,9,10
105000,40,0.9,9,10
105000,50,0.9,9,10
