step,context,stability_rate,stable_count,total_count
5000,1,0.0,0,10
5000,10,0.0,0,10
5000,20,0.0,0,10
5000,30,0.0,0,10
5000,40,0.0,0,10
5000,50,0.0,0,10
10000,1,0.0,0,10
10000,10,0.0,0,10
10000,20,0.0,0,10
10000,30,0.0,0,10
10000,40,0.0,0,10
10000,50,0.0,0,10
15000,1,0.0,0,10
15000,10,0.0,0,10
15000,20,0.0,0,10
15000,30,0.0,0,10
15000,40,0.0,0,10
15000,50,0.0,0,10
20000,1,0.1,1,10
20000,10,0.1,1,10
20000,20,0.1,1,10
20000,30,0.0,0,10
20000,40,0.0,0,10
20000,50,0.0,0,10
30000,1,0.0,0,10
30000,10,0.0,0,10
30000,20,0.0,0,10
30000,30,0.1,1,10
30000,40,0.0,0,10
30000,50,0.0,0,10
35000,1,0.1,1,10
35000,10,0.0,0,10
35000,20,0.0,0,10
35000,30,0.2,2,10
35000,40,0.1,1,10
35000,50,0.1,1,10
40000,1,0.4,4,10
40000,10,0.5,5,10
40000,20,0.0,0,10
40000,30,0.0,0,10
40000,40,0.3,3,10
40000,50,0.4,4,10
45000,1,0.0,0,10
45000,10,0.0,0,10
45000,20,0.0,0,10
45000,30,0.0,0,10
45000,40,0.0,0,10
45000,50,0.0,0,10
50000,1,0.3,3,10
50000,10,0.1,1,10
50000,20,0.2,2,10
50000,30,0.3,3,10
50000,40,0.2,2,10
50000,50,0.4,4,10
55000,1,0.1,1,10
55000,10,0.0,0,10
55000,20,0.1,1,10
55000,30,0.1,1,10
55000,40,0.1,1,10
55000,50,0.1,1,10
60000,1,0.1,1,10
60000,10,0.1,1,10
60000,20,0.1,1,10
60000,30,0.1,1,10
60000,40,0.1,1,10
60000,50,0.1,1,10
65000,1,0.0,0,10
65000,10,0.1,1,10
65000,20,0.3,3,10
65000,30,0.1,1,10
65000,40,0.1,1,10
65000,50,0.2,2,10
75000,1,0.0,0,10
75000,10,0.3,3,10
75000,20,0.0,0,10
75000,30,0.2,2,10
75000,40,0.0,0,10
75000,50,0.1,1,10
80000,1,0.0,0,10
80000,10,0.2,2,10
80000,20,0.1,1,10
80000,30,0.2,2,10
80000,40,0.2,2,10
80000,50,0.1,1,10
85000,1,0.3,3,10
85000,10,0.2,2,10
85000,20,0.2,2,10
85000,30,0.3,3,10
85000,40,0.2,2,10
85000,50,0.2,2,10
90000,1,0.5,5,10
90000,10,0.5,5,10
90000,20,0.5,5,10
90000,30,0.3,3,10
90000,40,0.3,3,10
90000,50,0.1,1,10
95000,1,0.4,4,10
95000,10,0.3,3,10
95000,20,0.2,2,10
95000,30,0.2,2,10
95000,40,0.2,2,10
95000,50,0.3,3,10
100000,1,0.3,3,10
100000,10,0.1,1,10
100000,20,0.2,2,10
100000,30,0.2,2,10
100000,40,0.4,4,10
100000,50,0.2,2,10
105000,1,0.1,1,10
105000,10,0.1,1,10
105000,20,0.2,2,10
105000,30,0.1,1,10
105000,40,0.2,2,10
105000,50,0.1,1,10
110000,1,0.2,2,10
110000,10,0.2,2,10
110000,20,0.0,0,10
110000,30,0.2,2,10
110000,40,0.2,2,10
110000,50,0.5,5,10
115000,1,0.0,0,10
115000,10,0.1,1,10
115000,20,0.1,1,10
115000,30,0.2,2,10
115000,40,0.5,5,10
115000,50,0.0,0,10
120000,1,0.3,3,10
120000,10,0.3,3,10
120000,20,0.5,5,10
120000,30,0.4,4,10
120000,40,0.2,2,10
120000,50,0.4,4,10
125000,1,0.1,1,10
125000,10,0.1,1,10
125000,20,0.1,1,10
125000,30,0.4,4,10
125000,40,0.2,2,10
125000,50,0.2,2,10
130000,1,0.2,2,10
130000,10,0.1,1,10
130000,20,0.2,2,10
130000,30,0.2,2,10
130000,40,0.3,3,10
130000,50,0.4,4,10
135000,1,0.0,0,10
135000,10,0.0,0,10
135000,20,0.0,0,10
135000,30,0.2,2,10
135000,40,0.1,1,10
135000,50,0.0,0,10
140000,1,0.1,1,10
140000,10,0.1,1,10
140000,20,0.0,0,10
140000,30,0.1,1,10
140000,40,0.1,1,10
140000,50,0.2,2,10
150000,1,0.4,4,10
150000,10,0.1,1,10
150000,20,0.2,2,10
150000,30,0.1,1,10
150000,40,0.3,3,10
