step,context,stability_rate,stable_count,total_count
25000,1,0.9,9,10
25000,10,0.8,8,10
25000,20,0.9,9,10
25000,30,0.9,9,10
25000,40,0.9,9,10
25000,50,0.9,9,10
35000,1,1.0,10,10
35000,10,1.0,10,10
35000,20,1.0,10,10
35000,30,1.0,10,10
35000,40,1.0,10,10
35000,50,0.9,9,10
45000,1,0.9,9,10
45000,10,1.0,10,10
45000,20,1.0,10,10
45000,30,1.0,10,10
45000,40,1.0,10,10
45000,50,1.0,10,10
55000,1,0.8,8,10
55000,10,0.9,9,10
55000,20,0.8,8,10
55000,30,0.9,9,10
55000,40,0.9,9,10
55000,50,1.0,10,10
60000,1,0.8,8,10
60000,10,1.0,10,10
60000,20,1.0,10,10
60000,30,0.9,9,10
60000,40,0.9,9,10
60000,50,0.9,9,10
65000,1,0.5,5,10
65000,10,0.9,9,10
65000,20,0.9,9,10
65000,30,0.9,9,10
65000,40,0.9,9,10
65000,50,0.9,9,10
70000,1,0.8,8,10
70000,10,0.9,9,10
70000,20,0.9,9,10
70000,30,1.0,10,10
70000,40,1.0,10,10
70000,50,1.0,10,10
75000,1,0.9,9,10
75000,10,1.0,10,10
75000,20,1.0,10,10
75000,30,1.0,10,10
75000,40,1.0,10,10
75000,50,1.0,10,10
80000,1,0.9,9,10
80000,10,1.0,10,10
80000,20,0.9,9,10
80000,30,1.0,10,10
80000,40,1.0,10,10
80000,50,1.0,10,10
85000,1,0.7,7,10
85000,10,0.8,8,10
85000,20,1.0,10,10
85000,30,1.0,10,10
85000,40,1.0,10,10
85000,50,1.0,10,10
90000,1,1.0,10,10
90000,10,0.9,9,10
90000,20,1.0,10,10
90000,30,1.0,10,10
90000,40,1.0,10,10
90000,50,1.0,10,10
95000,1,0.7,7,10
95000,10,1.0,10,10
95000,20,1.0,10,10
95000,30,1.0,10,10
95000,40,1.0,10,10
95000,50,1.0,10,10
100000,1,0.7,7,10
100000,10,0.9,9,10
100000,20,0.9,9,10
100000,30,0.9,9,10
100000,40,0.9,9,10
100000,50,0.9,9,10
105000,1,0.9,9,10
105000,10,0.9,9,10
105000,20,0.9,9,10
105000,30,0.9,9,10
105000,40,0.9,9,10
105000,50,0.9,9,10
